time,type,truth,guess
2/14/2020 18:58:40,radial,26.666666666666668,30
2/14/2020 18:58:40,radial,79.51807228915662,70
2/14/2020 18:58:40,radial,10.126582278481013,10
2/14/2020 18:58:40,small-multiple,98.83720930232558,100
2/14/2020 18:58:40,small-multiple,74.66666666666667,30
2/14/2020 18:58:40,small-multiple,18.867924528301888,20
2/14/2020 18:58:40,bar,89.47368421052632,90
2/14/2020 18:58:40,bar,28.94736842105263,20
2/14/2020 18:58:40,bar,52.94117647058823,50
2/14/2020 18:58:40,pie,97.72727272727273,30
2/14/2020 18:58:40,pie,83.78378378378379,90
2/14/2020 18:58:40,pie,66.66666666666667,10
2/14/2020 14:8:2,radial,86.11111111111111,40
2/14/2020 14:8:2,radial,40.476190476190474,40
2/14/2020 14:8:2,radial,29.78723404255319,25
2/14/2020 14:8:2,small-multiple,3.508771929824561,33
2/14/2020 14:8:2,small-multiple,37.2093023255814,40
2/14/2020 14:8:2,small-multiple,74.6987951807229,33
2/14/2020 14:8:2,bar,33.333333333333336,10
2/14/2020 14:8:2,bar,11.764705882352942,10
2/14/2020 14:8:2,bar,40.84507042253521,40
2/14/2020 14:8:2,pie,83.33333333333333,8
2/14/2020 14:8:2,pie,37.5,50
2/14/2020 14:8:2,pie,86.74698795180723,90
2/14/2020 14:28:16,radial,42.391304347826086,73
2/14/2020 14:28:16,radial,26.923076923076923,12
2/14/2020 14:28:16,radial,68.1159420289855,100
2/14/2020 14:28:16,small-multiple,24.050632911392405,40
2/14/2020 14:28:16,small-multiple,84.61538461538461,33
2/14/2020 14:28:16,small-multiple,79.56989247311827,33
2/14/2020 14:28:16,bar,50,50
2/14/2020 14:28:16,bar,49.23076923076923,48
2/14/2020 14:28:16,bar,92.6829268292683,89
2/14/2020 14:28:16,pie,94.89795918367346,95
2/14/2020 14:28:16,pie,98.78048780487805,100
2/14/2020 14:28:16,pie,70,83
2/15/2020 12:22:9,radial,70.58823529411765,20
2/15/2020 12:22:9,radial,35.714285714285715,50
2/15/2020 12:22:9,radial,21.311475409836067,90
2/15/2020 12:22:9,small-multiple,96.7741935483871,2
2/15/2020 12:22:9,small-multiple,17.647058823529413,80
2/15/2020 12:22:9,small-multiple,12.5,40
2/15/2020 12:22:9,bar,22.580645161290324,60
2/15/2020 12:22:9,bar,43.10344827586207,60
2/15/2020 12:22:9,bar,18.867924528301888,60
2/15/2020 12:22:9,pie,94.02985074626865,5
2/15/2020 12:22:9,pie,93.33333333333333,2
2/15/2020 12:22:9,pie,50,50
2/15/2020 13:43:46,radial,98.4375,42
2/15/2020 13:43:46,radial,81.08108108108108,70
2/15/2020 13:43:46,radial,77.17391304347827,90
2/15/2020 13:43:46,small-multiple,15.068493150684931,10
2/15/2020 13:43:46,small-multiple,17.441860465116278,15
2/15/2020 13:43:46,small-multiple,96.92307692307692,99
2/15/2020 13:43:46,bar,78.26086956521739,77
2/15/2020 13:43:46,bar,89.69072164948453,90
2/15/2020 13:43:46,bar,76.66666666666667,80
2/15/2020 13:43:46,pie,98.91304347826087,90
2/15/2020 13:43:46,pie,96.29629629629629,99
2/15/2020 13:43:46,pie,98.95833333333333,69
2/15/2020 11:14:39,radial,79.16666666666667,85
2/15/2020 11:14:39,radial,67.56756756756756,70
2/15/2020 11:14:39,radial,26.804123711340207,27
2/15/2020 11:14:39,small-multiple,19.607843137254903,19
2/15/2020 11:14:39,small-multiple,79.01234567901234,80
2/15/2020 11:14:39,small-multiple,10,12
2/15/2020 11:14:39,bar,45.348837209302324,45
2/15/2020 11:14:39,bar,63.63636363636363,65
2/15/2020 11:14:39,bar,30,25
2/15/2020 11:14:39,pie,93.6842105263158,100
2/15/2020 11:14:39,pie,87.5,80
2/15/2020 11:14:39,pie,98.50746268656717,100
2/15/2020 15:26:39,radial,53.75,43
2/15/2020 15:26:39,radial,12.087912087912088,64
2/15/2020 15:26:39,radial,35.294117647058826,30
2/15/2020 15:26:39,small-multiple,5.333333333333333,91
2/15/2020 15:26:39,small-multiple,2.816901408450704,80
2/15/2020 15:26:39,small-multiple,5.2631578947368425,83
2/15/2020 15:26:39,bar,58.333333333333336,33
2/15/2020 15:26:39,bar,93.02325581395348,5
2/15/2020 15:26:39,bar,26.984126984126984,42
2/15/2020 15:26:39,pie,73.46938775510205,10
2/15/2020 15:26:39,pie,89.83050847457628,0
2/15/2020 15:26:39,pie,75,10
2/16/2020 16:29:11,radial,86.5979381443299,75
2/16/2020 16:29:11,radial,62.365591397849464,45
2/16/2020 16:29:11,radial,46.666666666666664,45
2/16/2020 16:29:11,small-multiple,47.61904761904762,50
2/16/2020 16:29:11,small-multiple,40,50
2/16/2020 16:29:11,small-multiple,8.235294117647058,17
2/16/2020 16:29:11,bar,31.57894736842105,35
2/16/2020 16:29:11,bar,16.666666666666668,20
2/16/2020 16:29:11,bar,39.21568627450981,40
2/16/2020 16:29:11,pie,55.55555555555556,50
2/16/2020 16:29:11,pie,77.14285714285714,60
2/16/2020 16:29:11,pie,91.91919191919192,80
2/16/2020 17:51:22,radial,81.13207547169812,80
2/16/2020 17:51:22,radial,2.985074626865672,7
2/16/2020 17:51:22,radial,20.930232558139537,22
2/16/2020 17:51:22,small-multiple,80.76923076923077,70
2/16/2020 17:51:22,small-multiple,21.21212121212121,20
2/16/2020 17:51:22,small-multiple,29.032258064516128,35
2/16/2020 17:51:22,bar,68.85245901639344,70
2/16/2020 17:51:22,bar,8.641975308641975,10
2/16/2020 17:51:22,bar,73.6842105263158,70
2/16/2020 17:51:22,pie,75.67567567567568,80
2/16/2020 17:51:22,pie,82.14285714285714,90
2/16/2020 17:51:22,pie,74.35897435897436,80
2/16/2020 18:26:45,radial,93.33333333333333,90
2/16/2020 18:26:45,radial,16.129032258064516,22
2/16/2020 18:26:45,radial,83.69565217391305,83
2/16/2020 18:26:45,small-multiple,86.36363636363636,83
2/16/2020 18:26:45,small-multiple,61.971830985915496,62.5
2/16/2020 18:26:45,small-multiple,41.666666666666664,50
2/16/2020 18:26:45,bar,42.64705882352941,40
2/16/2020 18:26:45,bar,22.916666666666668,20
2/16/2020 18:26:45,bar,75.75757575757575,80
2/16/2020 18:26:45,pie,88.37209302325581,90
2/16/2020 18:26:45,pie,94.5945945945946,100
2/16/2020 18:26:45,pie,54.54545454545455,62.5
2/16/2020 20:55:36,radial,50,50
2/16/2020 20:55:36,radial,38.888888888888886,33
2/16/2020 20:55:36,radial,32.467532467532465,25
2/16/2020 20:55:36,small-multiple,53.191489361702125,55
2/16/2020 20:55:36,small-multiple,38.27160493827161,37
2/16/2020 20:55:36,small-multiple,7.407407407407407,20
2/16/2020 20:55:36,bar,53.57142857142857,50
2/16/2020 20:55:36,bar,66.66666666666667,66
2/16/2020 20:55:36,bar,59.01639344262295,60
2/16/2020 20:55:36,pie,98.64864864864865,100
2/16/2020 20:55:36,pie,75,65
2/16/2020 20:55:36,pie,100,100
2/17/2020 11:25:2,radial,23.076923076923077,25
2/17/2020 11:25:2,radial,75.64102564102564,75
2/17/2020 11:25:2,radial,11.627906976744185,12.5
2/17/2020 11:25:2,small-multiple,100,100
2/17/2020 11:25:2,small-multiple,69.49152542372882,50
2/17/2020 11:25:2,small-multiple,64.51612903225806,73
2/17/2020 11:25:2,bar,75.86206896551724,75
2/17/2020 11:25:2,bar,8.16326530612245,10
2/17/2020 11:25:2,bar,55.10204081632653,60
2/17/2020 11:25:2,pie,50,33
2/17/2020 11:25:2,pie,92.3076923076923,90
2/17/2020 11:25:2,pie,95.5223880597015,100
2/17/2020 13:1:57,radial,10.256410256410257,10
2/17/2020 13:1:57,radial,54.54545454545455,.6
2/17/2020 13:1:57,radial,10.144927536231885,.1
2/17/2020 13:1:57,small-multiple,62.06896551724138,10
2/17/2020 13:1:57,small-multiple,55.26315789473684,66
2/17/2020 13:1:57,small-multiple,2.2222222222222223,20
2/17/2020 13:1:57,bar,59.45945945945946,60
2/17/2020 13:1:57,bar,77.5,80
2/17/2020 13:1:57,bar,67.34693877551021,70
2/17/2020 13:1:57,pie,82.71604938271605,70
2/17/2020 13:1:57,pie,33.333333333333336,30
2/17/2020 13:1:57,pie,18.75,10
2/17/2020 13:2:45,radial,57.77777777777778,93
2/17/2020 13:2:45,radial,62.16216216216216,50
2/17/2020 13:2:45,radial,69.62025316455696,75
2/17/2020 13:2:45,small-multiple,62.62626262626262,60
2/17/2020 13:2:45,small-multiple,42.69662921348315,65
2/17/2020 13:2:45,small-multiple,15.662650602409638,10
2/17/2020 13:2:45,bar,54.11764705882353,50
2/17/2020 13:2:45,bar,31.372549019607842,20
2/17/2020 13:2:45,bar,95.3125,95
2/17/2020 13:2:45,pie,75.55555555555556,75
2/17/2020 13:2:45,pie,61.904761904761905,65
2/17/2020 13:2:45,pie,95.74468085106383,85
2/17/2020 13:8:31,radial,55.55555555555556,60
2/17/2020 13:8:31,radial,29.545454545454547,33
2/17/2020 13:8:31,radial,55.55555555555556,65
2/17/2020 13:8:31,small-multiple,48,47
2/17/2020 13:8:31,small-multiple,43.333333333333336,55
2/17/2020 13:8:31,small-multiple,28.125,30
2/17/2020 13:8:31,bar,65.38461538461539,75
2/17/2020 13:8:31,bar,96.5909090909091,95
2/17/2020 13:8:31,bar,52.459016393442624,50
2/17/2020 13:8:31,pie,26.31578947368421,30
2/17/2020 13:8:31,pie,100,99
2/17/2020 13:8:31,pie,100,95
2/17/2020 13:20:49,radial,56.79012345679013,50
2/17/2020 13:20:49,radial,81.81818181818181,85
2/17/2020 13:20:49,radial,84.21052631578948,90
2/17/2020 13:20:49,small-multiple,82.75862068965517,79
2/17/2020 13:20:49,small-multiple,66.66666666666667,65
2/17/2020 13:20:49,small-multiple,30.434782608695652,38
2/17/2020 13:20:49,bar,96.93877551020408,97
2/17/2020 13:20:49,bar,30.303030303030305,20
2/17/2020 13:20:49,bar,11.538461538461538,12
2/17/2020 13:20:49,pie,11.11111111111111,8
2/17/2020 13:20:49,pie,88.40579710144928,80
2/17/2020 13:20:49,pie,97.84946236559139,48
2/17/2020 13:32:51,radial,39.39393939393939,43
2/17/2020 13:32:51,radial,52.325581395348834,50
2/17/2020 13:32:51,radial,76.78571428571429,78
2/17/2020 13:32:51,small-multiple,65.51724137931035,50
2/17/2020 13:32:51,small-multiple,90.3225806451613,87
2/17/2020 13:32:51,small-multiple,32.97872340425532,38
2/17/2020 13:32:51,bar,100,99
2/17/2020 13:32:51,bar,58.333333333333336,60
2/17/2020 13:32:51,bar,28.26086956521739,26
2/17/2020 13:32:51,pie,66.66666666666667,80
2/17/2020 13:32:51,pie,50,49
2/17/2020 13:32:51,pie,88.88888888888889,90
2/17/2020 14:16:43,radial,86.95652173913044,85
2/17/2020 14:16:43,radial,96,95
2/17/2020 14:16:43,radial,38.983050847457626,40
2/17/2020 14:16:43,small-multiple,52.38095238095238,50
2/17/2020 14:16:43,small-multiple,18.823529411764707,20
2/17/2020 14:16:43,small-multiple,23.404255319148938,25
2/17/2020 14:16:43,bar,25,33
2/17/2020 14:16:43,bar,55.913978494623656,50
2/17/2020 14:16:43,bar,55.76923076923077,65
2/17/2020 14:16:43,pie,92.5925925925926,95
2/17/2020 14:16:43,pie,92.3076923076923,95
2/17/2020 14:16:43,pie,38.46153846153846,50
2/17/2020 14:48:4,radial,63.333333333333336,60
2/17/2020 14:48:4,radial,56.52173913043478,60
2/17/2020 14:48:4,radial,63.63636363636363,30
2/17/2020 14:48:4,small-multiple,14.285714285714286,40
2/17/2020 14:48:4,small-multiple,15.957446808510639,20
2/17/2020 14:48:4,small-multiple,59.15492957746479,60
2/17/2020 14:48:4,bar,39.75903614457831,40
2/17/2020 14:48:4,bar,63.29113924050633,70
2/17/2020 14:48:4,bar,84.81012658227849,80
2/17/2020 14:48:4,pie,75,80
2/17/2020 14:48:4,pie,100,100
2/17/2020 14:48:4,pie,82.14285714285714,80
2/17/2020 14:56:10,radial,55.55555555555556,50
2/17/2020 14:56:10,radial,94.73684210526316,95
2/17/2020 14:56:10,radial,51.42857142857143,50
2/17/2020 14:56:10,small-multiple,92.22222222222223,90
2/17/2020 14:56:10,small-multiple,77.94117647058823,75
2/17/2020 14:56:10,small-multiple,63.888888888888886,60
2/17/2020 14:56:10,bar,45.16129032258065,40
2/17/2020 14:56:10,bar,80.48780487804878,80
2/17/2020 14:56:10,bar,90.9090909090909,95
2/17/2020 14:56:10,pie,86.48648648648648,66
2/17/2020 14:56:10,pie,93.33333333333333,90
2/17/2020 14:56:10,pie,67.3076923076923,50
